X;Y;Name;LATITUD;LONGITUD
-769.393.214.528.776;-120.637.173.648.247;RUTA 201;;
-770.778.549.460.815;-120.699.643.667.446;RUTA 209;;
-769.551.282.988.705;-120.660.430.493.736;RUTA 209;;
-769.527.140.523.384;-120.938.555.181.865;RURA 206;;
-769.357.649.025.857;-120.749.135.957.563;RUTA 204;;
-7.710.965.965;-120.700.811;Línea 222;;
-771.097.343.921.317;-120.701.937.033.102;RUTA 201;;
-77.017.391;-12.090.198.973.832;"-12.090199	-77.017391";;
-7.692.605;-12.033.769.973.832;CERES;-12.033.770;-76.926.050
-76.924.457;-12.038.209.973.832;BERLIN (201,209);-1.203.821;-76.924.457
-76.925.775;-12.042.184.973.832;HOLANDA (201, 209);-12.042.185;-76.925.775
-769.301.379;-12.043.225.073.832;VISTA ALEGRE (201, 209);-120.432.251;-769.301.379
-76.936.066;-12.046.699.973.832;PARIS (201, 209);-120.467;-76.936.066
-76.938.374;-12.060.713.973.832;MONUMENTAL (201, 209);-12.060.714;-76.938.374
-76.939.672;-12.063.998.973.832;OVALO HUAROCHIRI (201);-12.063.999;-76.939.672
-76.943.921;-12.066.457.973.832;FLORA TRISTAN (201, 204);-12.066.458;-76.943.921
-76.948.422;-12.068.523.973.832;INGENIEROS (201, 204);-12.068.524;-76.948.422
-76.955.734;-12.070.941.973.832;LA MOLINA (201, 204);-12.070.942;-76.955.734
-769.670.318;-12.080.871.673.832;CAMACHO (201,204, 206, 209);-120.808.717;-769.670.318
-76.968.744;-12.082.318.973.832;CLÍNICA (201, 204, 206, 209);-12.082.319;-76.968.744
-76.972.722;-12.083.644.973.832;LA FLORESTA (201, 204, 206, 209);-12.083.645;-76.972.722
-76.980.504;-12.084.626.973.832;EVITAMIENTO;-12.084627°;-76.980504°
-76.985.946;-12.085.115.973.832;CIRCUNVALACION (201, 204, 206, 209);-12.085.116;-76.985.946
-76.989.228;-12.085.875.973.832;J. BORJA (201, 209);-12.085.876;-76.989.228
-7.699.252;-12.086.321.973.832;ROSA TORO (201, 204, 206, 209);-12.086.322;-7.699.252
-76.996.375;-12.086.474.973.832;SAN LUIS (201, 204,  206, 209);-12.086.475;-76.996.375
-7.700.322;-12.087.388.973.832;AVIACION (201, 204);-12.087.389;-7.700.322
