X;Y;Name;LATITUD;LONGITUD
-769.805.497;-1.209.501.705;RUTA 401;;
-77.083.703;-11.964.508.973.832;"""A""";-11.964509°;-77.083703°
-7.708.379;-11.967.528.973.832;MARAÑON;-11.967529°;-77.083790°
-77.086.931;-11.972.793.973.832;CANTA CALLAO;-11.972794°;-77.086931°
-77.083.742;-11.976.613.973.832;HUANDOY;-11.976614°;-77.083742°
-77.078.525;-11.977.793.973.832;NARANJAL;-11.977794°;-77.078525°
-77.078.503;-11.982.816.973.832;LOS ALISOS;-11.982817°;-77.078503°
-77.082.344;-11.990.330.973.832;IZAGUIRRE;-11.990331°;-77.082344°
-77.072.183;-11.991.421.973.832;MAYOLO;-11.991422°;-77.072183°
-77.068.939;-11.990.905.973.832;SANTOS CHOCANO;-11.990906°;-77.068939°
-77.066.392;-11.990.510.973.832;PANAMERICANA;-11.990511°;-77.066392°
-77.064.431;-11.991.018.973.832;ÓVALO IZAGUIRRE;-11.991019°;-77.064431°
-77.063.744;-11.994.402.973.832;MEGAPLAZA;-11.994403°;-77.063744°
-77.062.856;-11.998.605.973.832;SENATI;-11.998606°;-77.062856°
-77.061.792;-12.007.507.973.832;PLAZA NORTE;-12.007508°;-77.061792°
-77.059.357;-12.022.391.973.832;PALAO;-12.022392°;-77.059357°
-77.058.843;-12.025.746.973.832;CAYETANO;-12.025747°;-77.058843°
-77.056.831;-12.030.843.973.832;HABICH;-12.030844°;-77.056831°
-77.053.744;-12.033.357.973.832;CONTROL;-12.033358°;-77.053744°
-77.000.475;-12.030.288.973.832;PUENTE NUEVO;-12.030289°;-77.000475°
-76.986.839;-12.042.399.973.832;ATARJEA;-12.042400°;-76.986839°
-76.980.861;-12.047.835.973.832;PERALES;-12.047836°;-76.980861°
-7.697.765;-12.050.680.973.832;PUENTE AZUL;-12.050681°;-76.977650°
-76.974.186;-12.057.191.973.832;PUENTE SANTA ANITA;-12.057192°;-76.974186°
-769.716;-12.063.860.973.832;PUENTE SANTA ROSA;-12.063861°;-76.971600°
-769.795;-12.081.971.973.832;JAVIER PRADO;-12.081972°;-76.979500°
-76.980.847;-12.093.268.973.832;HIPODROMO;-12.093269°;-76.980847°
-76.979.414;-12.103.062.973.832;PENTAGONITO;-12.103063°;-76.979414°
-76.978.719;-12.108.449.973.832;PRIMAVERA;-12.108450°;-76.978719°
-76.978.447;-12.131.257.973.832;BENAVIDES;-12.131258°;-76.978447°
