X;Y;Name;LATITUD;LONGITUD
-770.356.681.995.886;-120.766.850.527.093;RUTA 301;;
-7.703.885.668.466;-120.211.208.933.776;RUTA 371;;
-770.331.813.880.703;-120.251.081.370.104;RUTA 370;;
-770.326.149;-1.202.467.695;RUTA 370 S/N;;
-770.289.938.040.788;-120.334.703.565.843;RUTA 303;;
-770.295.600.503.293;-120.191.335.996.355;EXPRESSO 336;;
-77.029.478;-12.016.999.973.832;24 DE JUNIO (301,336,370);-12.017;-77.029.478
-77.028.824;-12.019.953.973.832;EDUARDO DIBOS (301, 336, 370);-12.019.954;-77.028.824
-77.029.586;-12.021.045.973.832;CARLOS VALDERRAMA (301, 336, 370);-12.021.046;-77.029.586
-77.031.118;-12.022.804.973.832;CALLE 1 (301, 370);-12.022.805;-77.031.118
-77.034.033;-12.026.010.973.832;AMANCAES (301, 370);-12.026.011;-77.034.033
-77.032.526;-12.027.878.973.832;LA COLONIA (301, 305);-12.027.879;-77.032.526
-77.031.099;-12.029.155.973.832;MADRID (301);-12.029.156;-77.031.099
-77.028.468;-12.032.607.973.832;LEONCIO PRADO (301, 303, 305, 336);-12.032.608;-77.028.468
-77.029.715;-12.034.559.973.832;GUARDIA REPUBLICANA (301, 305);-1.203.456;-77.029.715
-77.030.903;-12.036.435.973.832;CHIRA (301, 305);-12.036.436;-77.030.903
-77.032.891;-12.039.455.973.832;VIRU (301,305);-12.039.456;-77.032.891
-77.036.124;-12.044.158.973.832;ICA (301);-12.044.159;-77.036.124
-77.037.978;-12.046.932.973.832;MOQUEGUA (301, 305);-12.046.933;-77.037.978
-77.038.735;-12.051.778.973.832;ILO (301, 305);-12.051.779;-77.038.735
-77.038.371;-12.055.510.973.832;BOLIVIA (301,305);-12.055.511;-77.038.371
-77.038.205;-12.057.499.973.832;ESPAÑA (301,305);-120.575;-77.038.205
-77.037.883;-12.061.036.973.832;TARMA (301);-12.061.037;-77.037.883
-7.703.712;-12.067.507.973.832;SACO OLIVEROS (301, 305);-12.067.508;-7.703.712
-77.036.619;-12.070.802.973.832;RAMON DAGNINO (301,305);-12.070.803;-77.036.619
-77.036.102;-12.074.229.973.832;CUBA (301,305);-1.207.423;-77.036.102
-77.035.767;-12.076.444.973.832;ENRIQUE VILLAR (301, 305);-12.076.445;-77.035.767
-77.035.335;-12.079.307.973.832;MANUEL SEGURA (301,305);-12.079.308;-77.035.335
-77.034.911;-12.082.175.973.832;MANUEL CANDAMO (301,305);-12.082.176;-77.034.911
-77.034.251;-12.086.698.973.832;TOMAS GUIDO (301, 305);-12.086.699;-77.034.251
-77.033.714;-12.090.420.973.832;SOLEDAD (301, 303, 305);-12.090.421;-77.033.714
-77.033.158;-12.094.259.973.832;MANUEL BAÑON (301, 303, 305);-1.209.426;-77.033.158
-77.032.833;-12.096.500.973.832;PAZ SOLDAN (301, 305);-12.096.501;-77.032.833
-77.032.545;-12.098.469.973.832;CHOQUEHUANCA (301,305);-1.209.847;-77.032.545
-7.703.184;-12.102.702.973.832;RAYMUNDO MORALES (301,303, 305);-12.102.703;-7.703.184
-77.031.222;-12.106.376.973.832;LOS ANGELES (301,305);-12.106.377;-77.031.222
-77.030.824;-12.108.700.973.832;ANDALUCIA (301, 305);-12.108.701;-77.030.824
-77.030.358;-12.111.418.973.832;AYACUCHO (301, 305);-12.111.419;-77.030.358
-77.030.025;-12.113.398.973.832;ANGAMOS (301, 305);-12.113.399;-77.030.025
-77.029.646;-12.115.620.973.832;PIURA (301, 305);-12.115.621;-77.029.646
-77.029.172;-12.118.595.973.832;PARDO (301);-12.118.596;-77.029.172
-77.031.174;-12.122.103.973.832;BERLIN (301);-12.122.104;-77.031.174
-77.032.992;-12.125.210.973.832;28 DE JULIO (301);-12.125.211;-77.032.992
-77.029.806;-12.126.830.973.832;LARCO (301);-12.126.831;-77.029.806
-77.029.997;-12.131.140.973.832;ARMENDARIZ (301);-12.131.141;-77.029.997
-77.027.932;-12.133.130.973.832;SAN IGNASIO DE LOYALA (301);-12.133.131;-77.027.932
-77.025.463;-12.135.115.973.832;LA PAZ (301);-12.135.116;-77.025.463
-77.022.653;-12.137.498.973.832;CHIPOCO (301);-12.137.499;-77.022.653
-77.022.303;-12.140.845.973.832;CENTENARIO (301);-12.140.846;-77.022.303
-77.018.861;-12.141.796.973.832;BALTA (301);-12.141.797;-77.018.861
-77.015.949;-12.143.681.973.832;PLAZA BUTTERS (301);-12.143.682;-77.015.949
-770.345.494;-12.092.119.073.832;JAVIER PRADO (336);-120.921.191;-770.345.494
-770.367.238;-12.069.985.473.832;NATALIO SANCHEZ (303);-120.699.855;-770.367.238
-770.385.908;-12.053.041.573.832;VILLARAN (303, 336);-120.530.416;-770.385.908
-770.378.599;-12.061.792.273.832;HUANCAYO (303,305, 336);-120.617.923;-770.378.599
-770.390.308;-12.048.383.573.832;NICOLAS DE PIEROLA (336);-120.483.836;-770.390.308
-770.367.958;-12.045.145.373.832;HUANCAVELICA (303,336);-120.451.454;-770.367.958
-770.267.929;-12.023.875.373.832;AGUILAR (336);-120.238.754;-770.267.929
-770.286.098;-12.020.049.473.832;ADUARDO DIBOS;-120.200.495;-770.286.098
-770.301.562;-12.016.382.673.832;24 DE JUNIO (370);-120.163.827;-770.301.562
-770.313.591;-12.013.801.473.832;CLAVELES (370);-120.138.015;-770.313.591
-770.326.439;-12.011.575.073.832;CEREZOS (370);-120.115.751;-770.326.439
-770.345.624;-12.009.286.173.832;PASAJE 17 (370);-120.092.862;-770.345.624
-770.362.122;-12.007.577.673.832;MONACO (370);-120.075.777;-770.362.122
-77.019.594;-12.027.939.973.832;TUNEL (303);-1.202.794;-77.019.594
-77.032.196;-12.038.441.973.832;PIZARRO (303);-12.038.442;-77.032.196
-77.034.466;-12.085.181.973.832;RISSO (303);-12.085.182;-77.034.466
-77.031.018;-12.107.469.973.832;TERUEL (303);-1.210.747;-77.031.018
-77.029.266;-12.117.715.973.832;2 DE MAYO (303);-12.117.716;-77.029.266
-77.041.656;-12.018.502.973.832;CONDOMINIOS (305);-12.018.503;-77.041.656
-77.030.793;-12.016.975.973.832;COMPLEJO DEPORTIVO (301, 336, 370);-12.016.976;-77.030.793
-77.017.087;-12.139.020.973.832;EL SOL (301);-12.139.021;-77.017.087
-77.022.482;-12.137.393.973.832;MANUEL CHIPOCO (301);-12.137.394;-77.022.482
-77.023.342;-12.132.864.973.832;LAS ACACIAS (301);-12.132.865;-77.023.342
-77.027.483;-12.133.352.973.832;NUÑEZ DE BALBOA (301);-12.133.353;-77.027.483
-77.029.762;-12.130.231.973.832;JUAN FANNING (301);-12.130.232;-77.029.762
-77.029.502;-12.127.296.973.832;28 DE JULIO (301);-12.127.297;-77.029.502
-77.029.389;-12.125.116.973.832;BENAVIDES (301);-12.125.117;-77.029.389
-77.029.192;-12.123.237.973.832;SHELL (301);-12.123.238;-77.029.192
-77.028.963;-12.120.146.973.832;RICARDO PALMA (301);-12.120.147;-77.028.963
-77.029.334;-12.116.312.973.832;PIURA (301);-12.116.313;-77.029.334
-77.029.725;-12.113.980.973.832;ANGAMOS (301, 305);-12.113.981;-77.029.725
-77.030.088;-12.111.850.973.832;AYACUCHO (301,305);-12.111.851;-77.030.088
-77.030.545;-12.109.171.973.832;CARLOS TENUAR (301,305);-12.109.172;-77.030.545
-77.031.099;-12.105.936.973.832;RIO DE JANEIRO (301,305);-12.105.937;-77.031.099
-77.031.439;-12.103.899.973.832;ARAMBURU (301,303, 305);-121.039;-77.031.439
-77.032.033;-12.100.423.973.832;LA HABANA (301,305);-12.100.424;-77.032.033
-77.032.515;-12.097.429.973.832;JUAN DE ARONA (301, 305);-1.209.743;-77.032.515
-77.033.013;-12.093.961.973.832;OLAVIDE (301,303,305);-12.093.962;-77.033.013
-77.033.781;-12.088.485.973.832;PEDRO CONDE (301,303, 305);-12.088.486;-77.033.781
-77.033.967;-12.087.369.973.832;TOMAS GUIDO (301, 305);-1.208.737;-77.033.967
-77.034.634;-12.082.772.973.832;MANUEL CANDAMO (301, 305);-12.082.773;-77.034.634
-77.035.041;-12.079.912.973.832;MANUEL SEGURA (301, 305);-12.079.913;-77.035.041
-77.035.494;-12.077.029.973.832;ENRIQUE VILLAR (301, 305);-1.207.703;-77.035.494
-77.035.989;-12.073.732.973.832;EMILIO FERNANDEZ (301,305);-12.073.733;-77.035.989
-7.703.633;-12.071.495.973.832;RAMON DAGNINO (301,305);-12.071.496;-7.703.633
-77.036.727;-12.068.833.973.832;SACO OLIVEROS (301,305);-12.068.834;-77.036.727
-77.037.913;-12.058.430.973.832;ESPAÑA (301,305);-12.058.431;-77.037.913
-77.038.092;-12.056.210.973.832;BOLIVIA (301,305);-12.056.211;-77.038.092
-77.038.607;-12.051.329.973.832;QUILCA (301,305);-1.205.133;-77.038.607
-77.037.672;-12.046.821.973.832;EMANCIPACION (301, 305);-12.046.822;-77.037.672
-77.035.601;-12.043.819.973.832;CALLAO (301,305);-1.204.382;-77.035.601
-77.032.406;-12.039.158.973.832;PIZARRO (301,305);-12.039.159;-77.032.406
-77.031.362;-12.037.581.973.832;CHIRA (301);-12.037.582;-77.031.362
-77.029.979;-12.035.417.973.832;GUARDIA REPUBLICANA (301,305);-12.035.418;-77.029.979
-77.028.021;-12.032.458.973.832;ALCAZAR (301, 303);-12.032.459;-77.028.021
-77.030.646;-12.029.282.973.832;LAS CALEZAS (301, 370);-12.029.283;-77.030.646
-77.032.754;-12.027.406.973.832;ARANCIBIA (301, 305);-12.027.407;-77.032.754
-77.033.844;-12.026.437.973.832;AMANCAES (301,305, 370);-12.026.438;-77.033.844
-77.031.749;-12.023.822.973.832;CALLE 3 (301, 370);-12.023.823;-77.031.749
-77.029.677;-12.021.376.973.832;EL SOL (301,336,370);-12.021.377;-77.029.677
-77.028.376;-12.018.860.973.832;CALLE 10 (301,336, 370);-12.018.861;-77.028.376
