X;Y;Name;DIRECCI__N_COMERCIAL;HORARIO_DE_ATENCI__N;Latitud;Longitud;N;N COMERCIAL;;;;;;;;;;;;;;;;;;;;;;;
-7.694.487;-1.206.093;LA ESQUINA DEL MOVIMIENTO E.I.R.L.;AV. CONSTRUCTORES NRO. 1161 URB. STA PATRICIA 3ET. (A 1/2 CDRA DEL SEGURO);07:30 am - 10:00 pm;-1.206.093;-7.694.487;07:30 am - 10:00 pm;AV. CONSTRUCTORES NRO. 1161 URB. STA PATRICIA 3ET. (A 1/2 CDRA DEL SEGURO);;;;;;;;;;;;;;;;;;;;;;;
-769.421;-1.206.991;TIENDAS TAMBO S.A.C;AV. FLORA TRISTAN 508 LIMA-LIMA-LA MOLINA;07:00 am - 10:30 pm;-1.206.991;-769.421;07:00 am - 10:30 pm;AV. FLORA TRISTAN 508 LIMA-LIMA-LA MOLINA;;;;;;;;;;;;;;;;;;;;;;;
-7.708.644;-1.198.713;BOTICA SAN IGNACIO;AV. LOS OLIVOS MZ.A LT. 18 ASOC. DE VIV. MIGUEL GRAU;07:30 am - 10:00 pm;-1.198.713;-7.708.644;07:30 am - 10:00 pm;AV. LOS OLIVOS MZ.A LT. 18 ASOC. DE VIV. MIGUEL GRAU;;;;;;;;;;;;;;;;;;;;;;;
-7.703.423;-1.204.808;TIENDAS TAMBO S.A.C;JR. CAMANÁ NRO. 596 LIMA-LIMA-LIMA;07:00 am - 10:30 pm;-1.204.808;-7.703.423;07:00 am - 10:30 pm;JR. CAMANÁ NRO. 596 LIMA-LIMA-LIMA;;;;;;;;;;;;;;;;;;;;;;;
-7.699.959;-1.218.238;TIENDAS TAMBO S.A.C;AV. GUARDIA CIVIL MZ. M LT. 16 SUB LOTE 16B LOCAL COMER. 02 URB. PARCELACION SEMI RUSTICA LA CAMPIÑA ;07:00 am - 10:30 pm;-1.218.238;-7.699.959;07:00 am - 10:30 pm;AV. GUARDIA CIVIL MZ. M LT. 16 SUB LOTE 16B LOCAL COMER. 02 URB. PARCELACION SEMI RUSTICA LA CAMPIÑA;;;;;;;;;;;;;;;;;;;;;;;
-7.702.644;-1.211.899;TIENDAS TAMBO S.A.C;AVENIDA RICARDO PALMA N° 439, DISTRITO DE MIRAFLORES,;07:00 am - 10:30 pm;-1.211.899;-7.702.644;07:00 am - 10:30 pm;AVENIDA RICARDO PALMA N° 439, DISTRITO DE MIRAFLORES,;;;;;;;;;;;;;;;;;;;;;;;
-7.695.273;-120.734;TIENDAS TAMBO S.A.C;CAL.12 MZA. L-6 LOTE. 1 LIMA - LIMA - LA MOLINA;07:00 am - 10:30 pm;-120.734;-7.695.273;07:00 am - 10:30 pm;CAL.12 MZA. L-6 LOTE. 1 LIMA - LIMA - LA MOLINA;;;;;;;;;;;;;;;;;;;;;;;
-7.694.223;-1.220.928;TIENDAS TAMBO S.A.C;SCTR SECTOR 02 GRUPO 13 MZ. I LT 01 PUEBLO JOVEN;07:00 am - 10:30 pm;-1.220.928;-7.694.223;07:00 am - 10:30 pm;SCTR SECTOR 02 GRUPO 13 MZ. I LT 01 PUEBLO JOVEN;;;;;;;;;;;;;;;;;;;;;;;
-770.116;-1.219.747;BOTICA;AV ALAMEDA SUR MZ B LT 1 ASOC PROPIETARIOS BELLO HORIZONTE ;07:00 am - 10:00 pm;-1.219.747;-770.116;07:00 am - 10:00 pm;AV ALAMEDA SUR MZ B LT 1 ASOC PROPIETARIOS BELLO HORIZONTE;;;;;;;;;;;;;;;;;;;;;;;
-769.963;-1.209.061;TIENDAS TAMBO S.A.C;AV. SAN LUIS N° 2030 ;07:00 am - 10:30 pm;-1.209.061;-769.963;07:00 am - 10:30 pm;AV. SAN LUIS N° 2030;;;;;;;;;;;;;;;;;;;;;;;
-7.708.099;-119.958;TIENDAS TAMBO S.A.C;AV. SANTIAGO ANTUNEZ DE MAYOL MZA. S LOTE. 15 URB. LOS PINARES LIMA-LIMA-LOS OLIVOS;07:00 am - 10:30 pm;-119.958;-7.708.099;07:00 am - 10:30 pm;AV. SANTIAGO ANTUNEZ DE MAYOL MZA. S LOTE. 15 URB. LOS PINARES LIMA-LIMA-LOS OLIVOS;;;;;;;;;;;;;;;;;;;;;;;
-7.702.886;-1.191.407;TIENDAS TAMBO S.A.C;AV. REVOLUCION NRO. 1441 A.H. COLLIQUE III ZONA, ZONA 12 SEGM 3 (MZ 55 LT 20)  COMAS;07:00 am - 10:30 pm;-1.191.407;-7.702.886;07:00 am - 10:30 pm;AV. REVOLUCION NRO. 1441 A.H. COLLIQUE III ZONA, ZONA 12 SEGM 3 (MZ 55 LT 20)  COMAS;;;;;;;;;;;;;;;;;;;;;;;
-7.700.975;-1.217.871;TIENDAS TAMBO S.A.C;AV. PROLONGACION PASEO DE LA REPUBLICA MZA. B LOTE. 13 URB. PASEO REPUBLICA LIMA-LIMA-CHORRILLOS;07:00 am - 10:30 pm;-1.217.871;-7.700.975;07:00 am - 10:30 pm;AV. PROLONGACION PASEO DE LA REPUBLICA MZA. B LOTE. 13 URB. PASEO REPUBLICA LIMA-LIMA-CHORRILLOS;;;;;;;;;;;;;;;;;;;;;;;
-7.702.707;-1.209.312;TIENDAS TAMBO S.A.C;AV. RIVERA NAVARRETE, RICARDO 580 TIENDA, “D” DISTRITO DE SAN ISIDRO,;07:00 am - 10:30 pm;-1.209.312;-7.702.707;07:00 am - 10:30 pm;AV. RIVERA NAVARRETE, RICARDO 580 TIENDA, “D” DISTRITO DE SAN ISIDRO,;;;;;;;;;;;;;;;;;;;;;;;
-7.707.311;-1.199.428;TIENDAS TAMBO S.A.C;AV. ANTUNEZ DE MAYOLO NRO. 960 URB. MERCURIO LIMA-LIMA-LOS OLIVOS;07:00 am - 10:30 pm;-1.199.428;-7.707.311;07:00 am - 10:30 pm;AV. ANTUNEZ DE MAYOLO NRO. 960 URB. MERCURIO LIMA-LIMA-LOS OLIVOS;;;;;;;;;;;;;;;;;;;;;;;
