X;Y;Name;DIRECCI__N_COMERCIAL;HORARIO_DE_ATENCI__N;Latitud;Longitud;N;N COMERCIAL;;;;;;
-769.303;-1.204.306;TIENDAS TAMBO S.A.C;AV. JAVIER PRADO NRO. 8703 URB. LOS PORTALES DE JAVIER PRADO (MZ J1 LOTE 50);07:00 am - 10:30 pm;-1.204.306;-769.303;07:00 am - 10:30 pm;AV. JAVIER PRADO NRO. 8703 URB. LOS PORTALES DE JAVIER PRADO (MZ J1 LOTE 50);;;;;;
-769.584;-1.206.751;TIENDAS TAMBO S.A.C;AV. CONSTRUCTORES NRO 107 (ESQUINA AV. LA MOLINA) LIMA-LIMA-LA MOLINA;07:00 am - 10:30 pm;-1.206.751;-769.584;07:00 am - 10:30 pm;AV. CONSTRUCTORES NRO 107 (ESQUINA AV. LA MOLINA) LIMA-LIMA-LA MOLINA;;;;;;
-7.703.487;-1.209.442;TIENDAS TAMBO S.A.C;AV. CAMINO REAL NRO. 101 LIMA-LIMA-SAN ISIDRO;07:00 am - 10:30 pm;-1.209.442;-7.703.487;07:00 am - 10:30 pm;AV. CAMINO REAL NRO. 101 LIMA-LIMA-SAN ISIDRO;;;;;;
-7.694.306;-1.210.134;TIENDAS TAMBO S.A.C;AV. A MZA. B LOTE. 15 URB. VALLE DE LA MOLINA LIMA - LIMA - LA MOLINA;07:00 am - 10:30 pm;-1.210.134;-7.694.306;07:00 am - 10:30 pm;AV. A MZA. B LOTE. 15 URB. VALLE DE LA MOLINA LIMA - LIMA - LA MOLINA;;;;;;
-770.033;-1.208.889;TIENDAS TAMBO S.A.C;AV.AVIACIÓN N° 2415, MZ. I3, LOTE 08 SAN BORJA;07:00 am - 10:30 pm;-1.208.889;-770.033;07:00 am - 10:30 pm;AV.AVIACIÓN N° 2415, MZ. I3, LOTE 08 SAN BORJA;;;;;;
-7.702.682;-1.209.219;OXXO MERINO;AV. RIVERA NAVARRETE 495, SAN ISIDRO;07:00 am - 10:00 pm;-1.209.219;-7.702.682;07:00 am - 10:00 pm;AV. RIVERA NAVARRETE 495, SAN ISIDRO;;;;;;
-770.335;-1.208.957;TIENDAS TAMBO S.A.C;AV. AREQUIPA N°2589 LC 102, URB. DEL FUNDO LOBATON;07:00 am - 10:30 pm;-1.208.957;-770.335;07:00 am - 10:30 pm;AV. AREQUIPA N°2589 LC 102, URB. DEL FUNDO LOBATON;;;;;;
-7.702.659;-1.209.308;TIENDAS TAMBO S.A.C;AV. RICARDO RIVERA NAVARRETE 595 LOCAL COMERCIAL 1 - SAN ISIDRO;07:00 am - 10:30 pm;-1.209.308;-7.702.659;07:00 am - 10:30 pm;AV. RICARDO RIVERA NAVARRETE 595 LOCAL COMERCIAL 1 - SAN ISIDRO;;;;;;
-7.706.692;-1.208.269;TIENDAS TAMBO S.A.C;AV. SUCRE NRO. 1183 LIMA-LIMA-PUEBLO LIBRE;07:00 am - 10:30 pm;-1.208.269;-7.706.692;07:00 am - 10:30 pm;AV. SUCRE NRO. 1183 LIMA-LIMA-PUEBLO LIBRE;;;;;;
-771.001;-1.207.443;TIENDAS TAMBO S.A.C;AV. LA MARINA NRO. 3289 LIMA-LIMA-SAN MIGUEL;07:00 am - 10:30 pm;-1.207.443;-771.001;07:00 am - 10:30 pm;AV. LA MARINA NRO. 3289 LIMA-LIMA-SAN MIGUEL;;;;;;
-7.703.923;-1.204.849;TIENDAS TAMBO S.A.C;AV. NICOLAS DE PIEROLA NRO. 495 LIMA-LIMA-LIMA;07:00 am - 10:30 pm;-1.204.849;-7.703.923;07:00 am - 10:30 pm;AV. NICOLAS DE PIEROLA NRO. 495 LIMA-LIMA-LIMA;;;;;;
-7.705.874;-1.208.965;TIENDAS TAMBO S.A.C;AV. PERSHING N° 590, MAGDALENA DEL MAR;07:00 am - 10:30 pm;-1.208.965;-7.705.874;07:00 am - 10:30 pm;AV. PERSHING N° 590, MAGDALENA DEL MAR;;;;;;
-7.696.771;-1.208.202;TIENDAS TAMBO S.A.C;AV. CIRCUNVALACIÓN NRO S/N URB CLUB GOLF LOS INCAS LIMA-LIMA-SANTIAGO DE SURCO;07:00 am - 10:30 pm;-1.208.202;-7.696.771;07:00 am - 10:30 pm;AV. CIRCUNVALACIÓN NRO S/N URB CLUB GOLF LOS INCAS LIMA-LIMA-SANTIAGO DE SURCO;;;;;;
-7.700.556;-1.208.866;TIENDAS TAMBO S.A.C;JR. UCELLO 102 URB. CORPAC 1ERA ZONA DISTRITO DE SAN BORJA;07:00 am - 10:30 pm;-1.208.866;-7.700.556;07:00 am - 10:30 pm;JR. UCELLO 102 URB. CORPAC 1ERA ZONA DISTRITO DE SAN BORJA;;;;;;
